invoice_no,buyer_gstin,period,auto_tax,auto_value
INV-104,13SRNZT4189O1ZD,2025-01,144019.62,800109
INV-105,25MDWAY4696B1ZD,2025-01,44867.88,249266
INV-106,11TLQMI7586L1ZH,2025-01,79828.38,443491
INV-107,18VWRZF3773X1ZN,2025-01,149827.54,903796
INV-108,09IMTOG3467P1ZR,2025-01,70082.46,389347
INV-109,29LGJZJ9602D1ZO,2025-01,124217.54,817562
INV-110,22CLTQE0316D1ZU,2025-01,99446.22,552479
INV-111,29SLBBS0318X1ZH,2025-01,61217.28,340096
INV-112,02CNJLE3395B1ZE,2025-01,83728.26,465157
INV-113,20NKKQO9338S1ZN,2025-01,8801.1,48895
INV-114,30QHQEA0511I1ZE,2025-01,30291.12,168284
INV-115,30QQONQ3358O1ZJ,2025-01,136443.96,758022
INV-116,33DMNBY8459F1ZW,2025-01,57616.02,320089
INV-117,15HFZLT1044G1ZD,2025-01,130309.92,723944
INV-118,16ATMZP3442V1ZP,2025-01,49312.55,329105
INV-119,14FTVBC8134I1ZV,2025-01,3291.48,18286
INV-120,28VNADR1712I1ZE,2025-01,117009.18,650051
INV-121,06PNQKP0612K1ZZ,2025-01,86015.34,477863
INV-122,04MXBHA0165G1ZF,2025-01,104556.78,580871
INV-123,10MAKDX6534I1ZR,2025-01,124867.8,693710
INV-124,14FTVBC8134I1ZV,2025-01,169342.92,940794
INV-125,06NPGQR6655T1ZB,2025-01,39038.22,216879
INV-126,34IGRIG1649C1ZA,2025-01,103237.02,573539
INV-127,30TJATI8878C1ZJ,2025-01,137484,763800
INV-128,16YRIXY3529Y1ZL,2025-01,55389.42,307719
INV-129,37LWLDM6145A1ZC,2025-01,105946.02,588589
INV-130,29SLBBS0318X1ZH,2025-01,144687.6,803820
INV-131,13SKRJX4200R1ZH,2025-01,7064.28,39246
INV-132,08OOXKI7109C1ZL,2025-01,47351.34,263063
INV-133,16PUSXA7955G1ZZ,2025-01,97167.24,539818
INV-134,06HRQCY2381B1ZH,2025-01,160643.52,892464
INV-135,26NZCQC9327O1ZU,2025-01,97587.18,542151
INV-136,12TIYUW8271B1ZP,2025-01,144595.8,803310
INV-137,05GRHFC9771F1ZW,2025-01,86496.12,480534
INV-138,34HSINF6783E1ZI,2025-01,2783.88,15466
INV-139,37KQMQH9486J1ZO,2025-01,153811.8,854510
INV-140,12UYSDK4157G1ZO,2025-01,170600.76,947782
INV-141,13UZHER1153N1ZI,2025-01,161193.06,895517
INV-142,32KVMCA7225F1ZY,2025-01,58272.3,323735
INV-143,34WICDY1497H1ZV,2025-01,155640.96,864672
INV-144,35DJTGJ6364T1ZR,2025-01,136629.18,759051
INV-145,34HSINF6783E1ZI,2025-01,48539.16,269662
INV-146,17PEYKL7714U1ZV,2025-01,111718.44,620658
INV-147,06NPGQR6655T1ZB,2025-01,69986.88,388816
INV-148,18WDDGE6007H1ZS,2025-01,136117.62,756209
INV-149,04VZDVJ6652C1ZA,2025-01,17266.86,95927
INV-150,10PXUWW9393D1ZK,2025-01,169500.42,941669
INV-151,32RJUGC4491J1ZK,2025-01,86010.48,477836
INV-152,28KWWFQ6073J1ZQ,2025-01,101127.24,561818
INV-153,20SDOVY1377U1ZN,2025-01,99747.54,554153
INV-154,19QXCON7991F1ZB,2025-01,112083.48,622686
INV-155,16PUSXA7955G1ZZ,2025-01,84862.26,471457
INV-156,25YWFYY6699G1ZI,2025-01,84037.42,523321
INV-157,36AYVGE7330E1ZS,2025-01,29044.26,161357
INV-158,23ICNHB0945Q1ZK,2025-01,136025.1,755695
INV-159,05GMCIH9139D1ZK,2025-01,134774.46,748747
INV-160,28VNADR1712I1ZE,2025-01,24082.56,133792
INV-161,18VWRZF3773X1ZN,2025-01,91142.82,506349
INV-162,15KVKSI3296P1ZC,2025-01,179987.04,999928
INV-163,20LOFKQ4710W1ZQ,2025-01,24216.3,134535
INV-164,33BHVEY8550D1ZZ,2025-01,22625.1,125695
INV-165,31XAWLF5211T1ZW,2025-01,56458.26,313657
INV-166,02BMKRM9006C1ZE,2025-01,24022.98,133461
INV-167,14QDKRW0175M1ZL,2025-01,59038.38,327991
INV-168,07GELKH2948R1ZD,2025-01,151134.66,839637
INV-169,34WICDY1497H1ZV,2025-01,113087.7,628265
INV-170,24VAZPV6967H1ZI,2025-01,170584.56,947692
INV-171,23DZKDZ8794X1ZR,2025-01,42489.54,236053
INV-172,34HSINF6783E1ZI,2025-01,94056.66,522537
INV-173,05TPSBY1730Y1ZO,2025-01,67605.12,375584
INV-174,28OCYRD0354B1ZJ,2025-01,80614.62,447859
INV-175,16ENVGK3459H1ZJ,2025-01,108584.28,603246
INV-176,28CCFTO6234V1ZS,2025-01,149274.72,829304
INV-177,15XPDOA9047B1ZN,2025-01,125719.6,765009
INV-178,26BCVUJ4608S1ZY,2025-01,27945.18,155251
INV-179,14XKMNJ0707M1ZE,2025-01,145562.04,808678
INV-180,31OGHKW0555T1ZE,2025-01,29919.42,166219
INV-181,32COLPC4200X1ZI,2025-01,119721.42,665119
INV-182,33BHVEY8550D1ZZ,2025-01,69707.18,416045
INV-183,05ODRBF5048J1ZY,2025-01,61177.95,365465
INV-184,33QHKJZ5525K1ZO,2025-01,128341.98,713011
INV-185,14SMXLB1455V1ZZ,2025-01,123712.56,687292
INV-186,02CNJLE3395B1ZE,2025-01,135280.98,751561
INV-187,11ARWIM9524W1ZR,2025-01,152069.76,844832
INV-188,30TCRFK9917X1ZR,2025-01,25162.92,139794
INV-189,16VCWGM6308F1ZP,2025-01,32308.54,211774
INV-190,31WEVPU8162X1ZV,2025-01,144795.06,804417
INV-191,03RNUKX8061Q1ZU,2025-01,100277.64,557098
INV-192,15RQMYJ3165J1ZD,2025-01,96669.72,537054
INV-193,09EACEA6346S1ZI,2025-01,158551.81,991657
INV-194,28XIZTD8670E1ZB,2025-01,5381.1,29895
INV-195,06NJYOU5080M1ZL,2025-01,48096.18,267201
INV-196,04MXBHA0165G1ZF,2025-01,103144.29,617705
INV-197,29TDFSP4053R1ZZ,2025-01,102502.98,569461
INV-198,06PNQKP0612K1ZZ,2025-01,112949.82,627499
INV-199,20AQFJI6157Y1ZI,2025-01,178057.98,989211
INV-200,25EBYZI9874U1ZF,2025-01,35869.68,199276
INV-201,19ZTZRU7931P1ZB,2025-01,101438.1,563545
INV-202,13YHHYZ7764P1ZL,2025-01,18980.28,105446
INV-203,32BXFNY1950C1ZG,2025-01,33538.32,186324
INV-204,11JXKUR0633R1ZV,2025-01,50034.24,277968
INV-205,16ENVGK3459H1ZJ,2025-01,78670.8,437060
INV-206,06HRQCY2381B1ZH,2025-01,117778.32,654324
INV-207,31UECLL4769D1ZB,2025-01,136430.82,757949
INV-208,33JMOJG1572Q1ZA,2025-01,20437.2,113540
INV-209,28EFEHW0622N1ZR,2025-01,170350.02,946389
INV-210,09GQGPS2908J1ZG,2025-01,179516.7,997315
INV-211,30BVMNQ5720L1ZH,2025-01,47027.16,261262
INV-212,29KMIDW3933Y1ZL,2025-01,94846.68,526926
INV-213,37REJJA6891P1ZD,2025-01,74475.36,413752
INV-214,05LXOSJ3168Y1ZD,2025-01,61883.82,343799
INV-215,30GDERV6083C1ZW,2025-01,14154.66,78637
INV-216,33BHVEY8550D1ZZ,2025-01,121376.88,674316
INV-217,23IJVXP7370D1ZH,2025-01,5314.86,29527
INV-218,31GSLZY0374P1ZD,2025-01,112436.28,624646
INV-219,20PNNMO4031N1ZS,2025-01,145807.2,810040
INV-220,37TIQTD1337Y1ZR,2025-01,24065,141671
INV-221,30GDERV6083C1ZW,2025-01,85976.28,477646
INV-222,10HAVWI4099P1ZJ,2025-01,91434.07,534741
INV-223,05GMCIH9139D1ZK,2025-01,28670.76,159282
INV-224,20BKPAH2123A1ZP,2025-01,136006.87,830011
INV-225,14EWUHM1869J1ZX,2025-01,81780.48,454336
INV-226,32GXBQV0319F1ZX,2025-01,1988.82,11049
INV-227,16SPIFR3730X1ZN,2025-01,118958.76,660882
INV-228,04UHUTO6022Y1ZM,2025-01,33392.16,185512
INV-229,06GDUIP3724E1ZD,2025-01,175785.84,976588
INV-230,18FZLKA1555K1ZD,2025-01,44406.18,273076
INV-231,32HEVQW9413R1ZQ,2025-01,160804.8,893360
INV-232,35KESUP1066K1ZN,2025-01,160473.78,891521
INV-233,23FGCUW4619F1ZZ,2025-01,32266.26,179257
INV-234,14VKUYA8549J1ZY,2025-01,58543.56,325242
INV-235,37DZXIO2158E1ZJ,2025-01,25011,138950
INV-236,12FVFEU8899O1ZU,2025-01,44469.69,303033
INV-237,34UMONK6196O1ZK,2025-01,97081.56,539342
INV-238,09IMTOG3467P1ZR,2025-01,66470.22,369279
INV-239,13SRNZT4189O1ZD,2025-01,135383.94,752133
INV-240,05KLOVQ6103K1ZR,2025-01,126800.46,704447
INV-241,12VBULH0109Q1ZM,2025-01,88584.12,492134
INV-242,18TIHEA7797Q1ZD,2025-01,174315.06,968417
INV-243,30TCRFK9917X1ZR,2025-01,159958.39,977057
INV-244,15RQMYJ3165J1ZD,2025-01,2607.66,14487
INV-245,26SKCAI8689C1ZN,2025-01,79781.76,443232
INV-246,34HMTAR3399I1ZZ,2025-01,120608.07,747463
INV-247,03MJDYW5974K1ZH,2025-01,103368.78,574271
INV-248,37AGPDL6303U1ZL,2025-01,124312.86,690627
INV-249,14RIHYQ4576D1ZV,2025-01,7641,42450
INV-250,30JDJPG8039X1ZC,2025-01,25093.8,139410
INV-251,10MAXQG6069Z1ZD,2025-01,72838.62,404659
INV-252,24DUGXU0820W1ZS,2025-01,35242.74,195793
INV-253,21UHJDN5710M1ZT,2025-01,89130.24,495168
INV-254,10EVUVE4462O1ZT,2025-01,85711.14,476173
INV-255,22YTNUD8896E1ZG,2025-01,5533.56,30742
INV-256,20LOFKQ4710W1ZQ,2025-01,135656.46,753647
INV-257,17FSITY6172S1ZY,2025-01,155867.76,865932
INV-258,32ZQMEU1749R1ZU,2025-01,154383.12,857684
INV-259,08HUMPU8934F1ZB,2025-01,60183.63,390632
INV-260,08HUMPU8934F1ZB,2025-01,172519.92,958444
INV-261,22BYMJX2969P1ZX,2025-01,41263.56,229242
INV-262,32PCVHK5199T1ZL,2025-01,122300.64,679448
INV-263,27QHEMO9182P1ZB,2025-01,54147.42,300819
INV-264,36GSFRA4156W1ZE,2025-01,30452.59,188758
INV-265,09EACEA6346S1ZI,2025-01,128216.46,784703
INV-266,37FQTGB7390V1ZN,2025-01,115607.16,642262
INV-267,36LEWLT8274H1ZI,2025-01,112812.3,626735
INV-268,36LEWLT8274H1ZI,2025-01,21381.14,143620
INV-269,03RNUKX8061Q1ZU,2025-01,163266.12,907034
INV-270,25RPIWK6623K1ZJ,2025-01,139374.9,774305
INV-271,30CKEYC1111G1ZQ,2025-01,129764.16,720912
INV-272,04HUQBR0328V1ZL,2025-01,129718.08,720656
INV-273,37YCAID6479X1ZX,2025-01,130274.1,723745
INV-274,07YOCHN3434T1ZP,2025-01,2168.82,12049
INV-275,30JDJPG8039X1ZC,2025-01,179799.12,998884
INV-276,24ZUBJL1972F1ZW,2025-01,178984.8,994360
INV-277,08QTTWS7738Q1ZV,2025-01,78595.2,436640
INV-278,09IMTOG3467P1ZR,2025-01,99624.78,553471
INV-279,16TRMPG4468C1ZM,2025-01,80360.39,552383
INV-280,09YATAM4864G1ZS,2025-01,41148.84,245455
INV-281,15QYSPP2554L1ZZ,2025-01,81084.06,450467
INV-282,20EGVKX3719X1ZC,2025-01,2773.62,15409
INV-283,28CCFTO6234V1ZS,2025-01,17240.76,95782
INV-284,04FXWBG6219S1ZS,2025-01,140987.88,783266
INV-285,16PUSXA7955G1ZZ,2025-01,15850.08,88056
INV-286,02CNJLE3395B1ZE,2025-01,63939.06,355217
INV-287,02DGGTT2309P1ZR,2025-01,119820.42,665669
INV-288,04WDZIZ8918F1ZY,2025-01,72333.96,462931
INV-289,05HBKZG8109G1ZT,2025-01,120009.6,666720
INV-290,31GRZPF0457Y1ZM,2025-01,48448.62,269159
INV-291,21GDLDB9849F1ZK,2025-01,66124.08,367356
INV-292,20GRSUB9445W1ZN,2025-01,99885.24,554918
INV-293,26PRCLW1234K1ZY,2025-01,148217.76,823432
INV-294,25EBYZI9874U1ZF,2025-01,146018.7,811215
INV-295,18ODSCR8472B1ZM,2025-01,111070.08,617056
INV-296,14EUHTR1448J1ZV,2025-01,13254.12,73634
INV-297,37MBBYX5093G1ZS,2025-01,169797.6,943320
INV-298,18HGTPX7631Z1ZW,2025-01,24178.86,143730
INV-299,32COLPC4200X1ZI,2025-01,85209.3,473385
INV-300,34UMONK6196O1ZK,2025-01,119988.36,666602
INV-301,33OLPXT6026S1ZS,2025-01,129685.86,720477
INV-302,35IAWGP9053Z1ZK,2025-01,57463.56,319242
INV-303,37YCGOK5673O1ZJ,2025-01,118311.84,657288
INV-304,35WRYZK4650V1ZL,2025-01,114966,638700
INV-305,21VUFAI2298K1ZG,2025-01,87378.48,485436
INV-306,08SGMYQ9249Y1ZY,2025-01,77428.52,458901
INV-307,19AHHWB2275Z1ZG,2025-01,65900.34,366113
INV-308,30JDJPG8039X1ZC,2025-01,149572.8,830960
INV-309,17PEYKL7714U1ZV,2025-01,63744.48,354136
INV-310,07WISHY8543K1ZD,2025-01,21181.86,117677
INV-311,12UYSDK4157G1ZO,2025-01,14548.5,80825
INV-312,22NHTSP5266K1ZX,2025-01,38343.42,213019
INV-313,16NUPSH6521C1ZF,2025-01,97851.24,543618
INV-314,16PUSXA7955G1ZZ,2025-01,92660.94,514783
INV-315,10IPDJZ6359J1ZR,2025-01,47693.34,264963
INV-316,28OCYRD0354B1ZJ,2025-01,13217.22,73429
INV-317,35KESUP1066K1ZN,2025-01,75753.53,467019
INV-318,16ABUMP3010T1ZK,2025-01,123031.74,801018
INV-319,31UJPTT6014H1ZC,2025-01,168879.96,938222
INV-320,29LGJZJ9602D1ZO,2025-01,29622.42,164569
INV-321,17BQZRF3950I1ZH,2025-01,66520.26,369557
INV-322,30VRLYP0969K1ZX,2025-01,3325.32,18474
INV-323,05ROKNM5636D1ZD,2025-01,129824.82,721249
INV-324,21GDLDB9849F1ZK,2025-01,97513.38,541741
INV-325,08KOGSA9577V1ZG,2025-01,81461.34,452563
INV-326,01XAFDY6472D1ZB,2025-01,122700.6,681670
INV-327,14VKUYA8549J1ZY,2025-01,66265.74,368143
INV-328,15RQMYJ3165J1ZD,2025-01,132935.58,738531
INV-329,35VOSZO7794O1ZS,2025-01,132488.64,736048
INV-330,31WEVPU8162X1ZV,2025-01,108647.1,603595
INV-331,23IJWMU7732K1ZN,2025-01,80825.94,449033
INV-332,33OLPXT6026S1ZS,2025-01,87546.6,486370
INV-333,37ADLJL0133I1ZH,2025-01,175435.38,974641
INV-334,05LXLCR8330R1ZJ,2025-01,132640.92,736894
INV-335,21QSPKX7975O1ZN,2025-01,42028.38,233491
INV-336,22XMMAD1488O1ZZ,2025-01,130171.37,815671
INV-337,34HSINF6783E1ZI,2025-01,72750.96,404172
INV-338,11JXKUR0633R1ZV,2025-01,157718.16,876212
INV-339,21VUFAI2298K1ZG,2025-01,15716.16,87312
INV-340,05GFPYJ6220G1ZK,2025-01,19436.05,130784
INV-341,04JLHRP1012C1ZP,2025-01,38492.28,213846
INV-342,16GQPXB3303O1ZV,2025-01,146289.42,812719
INV-343,01ZYWEM2403M1ZI,2025-01,39383.1,218795
INV-344,26NKIII1515Y1ZL,2025-01,43124.4,239580
INV-345,26NKIII1515Y1ZL,2025-01,65938.32,366324
INV-346,21WQDBL3205J1ZO,2025-01,38791.26,215507
INV-347,24XCJQJ1507G1ZE,2025-01,51210.9,284505
INV-348,22DRBDW4138T1ZF,2025-01,129664.8,720360
INV-349,34EHGJA6310L1ZY,2025-01,150419.34,835663
INV-350,24VAZPV6967H1ZI,2025-01,41480.82,230449
INV-351,21GDLDB9849F1ZK,2025-01,71567.28,397596
INV-352,25NFORJ3744C1ZK,2025-01,179438.22,996879
INV-353,19MYWQY4649C1ZF,2025-01,140126.14,934491
INV-354,03NLVBZ5375Q1ZY,2025-01,14139.54,78553
INV-355,13UORYV7784C1ZD,2025-01,176228.46,979047
INV-356,15ZEHUN5756Y1ZT,2025-01,35461.69,210992
INV-357,34HMTAR3399I1ZZ,2025-01,72438.3,402435
INV-358,11TLQMI7586L1ZH,2025-01,121867.92,677044
INV-359,23FGCUW4619F1ZZ,2025-01,145826.82,810149
INV-360,09RVTRN6433F1ZG,2025-01,163069.2,905940
INV-361,28PQHHU2546H1ZX,2025-01,25028.5,165783
INV-362,08KOGSA9577V1ZG,2025-01,120606.3,670035
INV-363,21UHJDN5710M1ZT,2025-01,162515.7,902865
INV-364,31UJPTT6014H1ZC,2025-01,168995.52,938864
INV-365,18IKFFB5950X1ZW,2025-01,17165.16,95362
INV-366,05AXRYV4637N1ZL,2025-01,117855.9,654755
INV-367,32WBMGZ0264H1ZC,2025-01,75054.24,416968
INV-368,28RGIRK8590U1ZF,2025-01,72440.28,402446
INV-369,24MLYMO3828C1ZJ,2025-01,35584.74,197693
INV-370,07CJHJV8660S1ZA,2025-01,100980.18,561001
INV-371,11SDCLJ5375F1ZM,2025-01,95188.86,528827
INV-372,08CRXOA9644B1ZW,2025-01,77475.96,430422
INV-373,25MDWAY4696B1ZD,2025-01,112023,622350
INV-374,12VBULH0109Q1ZM,2025-01,43234.02,240189
INV-375,20AQFJI6157Y1ZI,2025-01,46038.6,255770
INV-376,01NKASN2564F1ZD,2025-01,82020.24,455668
INV-377,15KVKSI3296P1ZC,2025-01,178369.38,990941
INV-378,02MNDKU5916Z1ZX,2025-01,15077.47,98876
INV-379,16VCWGM6308F1ZP,2025-01,57488.4,319380
INV-380,32KVMCA7225F1ZY,2025-01,45244.44,251358
INV-381,09QPAGU3964M1ZL,2025-01,80076.43,547145
INV-382,11TLQMI7586L1ZH,2025-01,86951.88,483066
INV-383,33BHVEY8550D1ZZ,2025-01,59595.34,395364
INV-384,24SBDHK5873D1ZU,2025-01,73969.92,410944
INV-385,26MXGQK3310O1ZO,2025-01,45926.46,255147
INV-386,27GCAOZ3676Y1ZA,2025-01,69576.48,386536
INV-387,24XCJQJ1507G1ZE,2025-01,96504.84,536138
INV-388,26BMEVV8172Y1ZO,2025-01,16551.9,91955
INV-389,06BKSMK4513C1ZO,2025-01,20374.02,113189
INV-390,16TRMPG4468C1ZM,2025-01,7299.88,50140
INV-391,24SVPXC2616S1ZU,2025-01,38915.64,216198
INV-392,31GRZPF0457Y1ZM,2025-01,51046.64,327420
INV-393,15FDDTP4545V1ZG,2025-01,34262.4,209903
INV-394,08MBTFR6385C1ZZ,2025-01,163175.58,906531
INV-395,31FVHOH1720Q1ZH,2025-01,3410.64,18948
INV-396,30URHFU6941V1ZB,2025-01,67224.6,373470
INV-397,29HBFUP1144R1ZL,2025-01,156921.12,871784
INV-398,09GBSOO4553O1ZI,2025-01,4044.24,22468
INV-399,37LWLDM6145A1ZC,2025-01,145464.12,808134
INV-400,36LJHUT2399Y1ZG,2025-01,44753.94,248633
INV-401,14OOHYU5138R1ZO,2025-01,41412.42,230069
INV-402,17PEYKL7714U1ZV,2025-01,112593.06,625517
INV-403,09QPAGU3964M1ZL,2025-01,138169.26,767607
INV-404,12IAABK5637I1ZG,2025-01,18008.46,100047
INV-405,09RVTRN6433F1ZG,2025-01,82731.96,459622
INV-406,12VBULH0109Q1ZM,2025-01,84598.2,469990
INV-407,05GFPYJ6220G1ZK,2025-01,7481.88,41566
INV-408,31WEVPU8162X1ZV,2025-01,166714.74,926193
INV-409,28WVVSN3687O1ZW,2025-01,141055.92,783644
INV-410,22BUBDU6468E1ZX,2025-01,126153.36,700852
INV-411,12UNDFD7053Z1ZR,2025-01,80911.26,449507
INV-412,13SRNZT4189O1ZD,2025-01,77933.16,432962
INV-413,23IJWMU7732K1ZN,2025-01,63345.42,351919
INV-414,03RNUKX8061Q1ZU,2025-01,150031.26,833507
INV-415,35DJTGJ6364T1ZR,2025-01,30808.08,171156
INV-416,11ARWIM9524W1ZR,2025-01,152633.7,847965
INV-417,16WFFGQ1196V1ZP,2025-01,110115.9,611755
INV-418,30BVMNQ5720L1ZH,2025-01,63899.72,419611
INV-419,10NKQVR0678B1ZH,2025-01,33340.95,207487
INV-420,37FZETA7927W1ZC,2025-01,109292.22,607179
INV-421,03CMKLT6824N1ZG,2025-01,59299.74,329443
INV-422,33OLPXT6026S1ZS,2025-01,129180.24,717668
INV-423,36RMEFB7030P1ZQ,2025-01,157791.78,876621
INV-424,32JEYXK2717S1ZQ,2025-01,6865.56,38142
INV-425,14VKUYA8549J1ZY,2025-01,173810.52,965614
INV-426,06NJYOU5080M1ZL,2025-01,45784.62,254359
INV-427,27PXNVO3752G1ZT,2025-01,15008.04,83378
INV-428,24GJXEK3626W1ZD,2025-01,80615.72,553719
INV-429,13MEKIT6973I1ZZ,2025-01,164064.24,911468
INV-430,15KVKSI3296P1ZC,2025-01,22702.14,126123
INV-431,32IOIHA5082Z1ZP,2025-01,92066.76,511482
INV-432,14SSTGC0329T1ZV,2025-01,172346.4,957480
INV-433,27QHEMO9182P1ZB,2025-01,40620.06,225667
