gstin,period,itc_claimed,total_tax_paid,filing_date,due_date
31UECLL4769D1ZB,2025-04,807839,845141,27-02-2026,27-02-2026
31UECLL4769D1ZB,2025-05,62443,61550,27-02-2026,27-02-2026
31UECLL4769D1ZB,2025-06,383184,367957,27-02-2026,27-02-2026
07GELKH2948R1ZD,2025-01,1155851,1136447,27-02-2026,27-02-2026
07GELKH2948R1ZD,2025-02,401962,445206,27-02-2026,27-02-2026
07GELKH2948R1ZD,2025-03,345916,343225,27-02-2026,27-02-2026
07GELKH2948R1ZD,2025-04,1863999,1835498,27-02-2026,27-02-2026
07GELKH2948R1ZD,2025-05,244258,207198,27-02-2026,13-02-2026
07GELKH2948R1ZD,2025-06,1192792,1188185,27-02-2026,27-02-2026
01ZYWEM2403M1ZI,2025-01,357339,376693,27-02-2026,27-02-2026
01ZYWEM2403M1ZI,2025-02,361200,361830,27-02-2026,27-02-2026
01ZYWEM2403M1ZI,2025-03,222890,271102,27-02-2026,27-02-2026
01ZYWEM2403M1ZI,2025-04,850730,859179,27-02-2026,27-02-2026
01ZYWEM2403M1ZI,2025-05,246851,253606,27-02-2026,28-01-2026
01ZYWEM2403M1ZI,2025-06,1676534,1723785,27-02-2026,27-02-2026
36RMEFB7030P1ZQ,2025-01,1555296,1523082,27-02-2026,27-02-2026
36RMEFB7030P1ZQ,2025-02,386477,378401,27-02-2026,27-02-2026
36RMEFB7030P1ZQ,2025-03,405946,422425,27-02-2026,27-02-2026
36RMEFB7030P1ZQ,2025-04,1591278,1563466,27-02-2026,13-02-2026
36RMEFB7030P1ZQ,2025-05,500443,452506,27-02-2026,27-02-2026
36RMEFB7030P1ZQ,2025-06,95555,126136,27-02-2026,27-02-2026
33CEPRG1825T1ZC,2025-01,185467,198817,27-02-2026,27-02-2026
33CEPRG1825T1ZC,2025-02,447708,481687,27-02-2026,27-02-2026
33CEPRG1825T1ZC,2025-03,603312,641616,27-02-2026,27-02-2026
33CEPRG1825T1ZC,2025-04,1670820,1646691,27-02-2026,27-02-2026
33CEPRG1825T1ZC,2025-05,1644323,1604056,27-02-2026,27-02-2026
33CEPRG1825T1ZC,2025-06,67605,76241,27-02-2026,27-02-2026
34IGRIG1649C1ZA,2025-01,15512,34667,27-02-2026,27-02-2026
34IGRIG1649C1ZA,2025-02,353548,375342,27-02-2026,27-02-2026
34IGRIG1649C1ZA,2025-03,1958436,1972581,27-02-2026,27-02-2026
34IGRIG1649C1ZA,2025-04,497975,513061,27-02-2026,27-02-2026
34IGRIG1649C1ZA,2025-05,924702,933957,27-02-2026,07-02-2026
34IGRIG1649C1ZA,2025-06,113832,160017,27-02-2026,27-02-2026
07BFGYW8318W1ZJ,2025-01,59695,94945,27-02-2026,27-02-2026
07BFGYW8318W1ZJ,2025-02,581687,618178,27-02-2026,27-02-2026
07BFGYW8318W1ZJ,2025-03,722491,739329,27-02-2026,27-02-2026
07BFGYW8318W1ZJ,2025-04,697180,741274,27-02-2026,27-02-2026
07BFGYW8318W1ZJ,2025-05,186602,201816,27-02-2026,27-02-2026
07BFGYW8318W1ZJ,2025-06,936660,908548,27-02-2026,12-02-2026
36HRYDD1526W1ZK,2025-01,518296,563334,27-02-2026,27-02-2026
36HRYDD1526W1ZK,2025-02,1194278,1147659,27-02-2026,27-02-2026
36HRYDD1526W1ZK,2025-03,283544,234970,27-02-2026,27-02-2026
36HRYDD1526W1ZK,2025-04,198724,247212,27-02-2026,27-02-2026
36HRYDD1526W1ZK,2025-05,1743122,1718455,27-02-2026,27-02-2026
36HRYDD1526W1ZK,2025-06,905856,881473,27-02-2026,27-02-2026
32GXBQV0319F1ZX,2025-01,1130222,1084289,27-02-2026,27-02-2026
32GXBQV0319F1ZX,2025-02,773104,726966,27-02-2026,27-02-2026
32GXBQV0319F1ZX,2025-03,96942,99531,27-02-2026,27-02-2026
32GXBQV0319F1ZX,2025-04,148712,187108,27-02-2026,27-02-2026
32GXBQV0319F1ZX,2025-05,1804870,1817079,27-02-2026,27-02-2026
32GXBQV0319F1ZX,2025-06,1517884,1479512,27-02-2026,27-02-2026
28OCYRD0354B1ZJ,2025-01,1411512,1413007,27-02-2026,27-02-2026
28OCYRD0354B1ZJ,2025-02,1979562,1987224,27-02-2026,27-02-2026
28OCYRD0354B1ZJ,2025-03,1923355,1940229,27-02-2026,27-02-2026
28OCYRD0354B1ZJ,2025-04,419453,452127,27-02-2026,27-02-2026
28OCYRD0354B1ZJ,2025-05,352942,336315,27-02-2026,27-02-2026
28OCYRD0354B1ZJ,2025-06,949169,995936,27-02-2026,27-02-2026
23FGCUW4619F1ZZ,2025-01,655724,688918,27-02-2026,27-02-2026
23FGCUW4619F1ZZ,2025-02,1981393,1963696,27-02-2026,27-02-2026
23FGCUW4619F1ZZ,2025-03,1221208,1179392,27-02-2026,27-02-2026
23FGCUW4619F1ZZ,2025-04,219292,267997,27-02-2026,27-02-2026
23FGCUW4619F1ZZ,2025-05,1731648,1725592,27-02-2026,27-02-2026
23FGCUW4619F1ZZ,2025-06,1058256,1099377,27-02-2026,14-02-2026
12TIYUW8271B1ZP,2025-01,930603,935141,27-02-2026,27-02-2026
12TIYUW8271B1ZP,2025-02,1235725,1230070,27-02-2026,27-02-2026
12TIYUW8271B1ZP,2025-03,1193830,1196141,27-02-2026,27-02-2026
12TIYUW8271B1ZP,2025-04,212235,225665,27-02-2026,27-02-2026
12TIYUW8271B1ZP,2025-05,1667060,1629453,27-02-2026,27-02-2026
12TIYUW8271B1ZP,2025-06,652616,646014,27-02-2026,24-02-2026
30JVWFR3207L1ZU,2025-01,1834525,1845696,27-02-2026,27-02-2026
30JVWFR3207L1ZU,2025-02,280399,250396,27-02-2026,27-02-2026
30JVWFR3207L1ZU,2025-03,1174168,1124718,27-02-2026,27-02-2026
30JVWFR3207L1ZU,2025-04,492351,482371,27-02-2026,27-02-2026
30JVWFR3207L1ZU,2025-05,933644,943995,27-02-2026,27-02-2026
30JVWFR3207L1ZU,2025-06,686531,661381,27-02-2026,27-02-2026
35IAWGP9053Z1ZK,2025-01,134400,165306,27-02-2026,27-02-2026
35IAWGP9053Z1ZK,2025-02,1344021,1371098,27-02-2026,27-02-2026
35IAWGP9053Z1ZK,2025-03,1125926,1111023,27-02-2026,10-02-2026
35IAWGP9053Z1ZK,2025-04,1653832,1634728,27-02-2026,15-02-2026
35IAWGP9053Z1ZK,2025-05,376271,386377,27-02-2026,27-02-2026
35IAWGP9053Z1ZK,2025-06,460804,493198,27-02-2026,27-02-2026
08KOGSA9577V1ZG,2025-01,1479238,1491182,27-02-2026,27-02-2026
08KOGSA9577V1ZG,2025-02,352693,394447,27-02-2026,27-02-2026
08KOGSA9577V1ZG,2025-03,72941,103210,27-02-2026,27-02-2026
08KOGSA9577V1ZG,2025-04,1406657,1412190,27-02-2026,27-02-2026
08KOGSA9577V1ZG,2025-05,1615979,1616326,27-02-2026,27-02-2026
08KOGSA9577V1ZG,2025-06,569031,536767,27-02-2026,05-02-2026
22QRDXN6365G1ZN,2025-01,531062,557809,27-02-2026,27-02-2026
22QRDXN6365G1ZN,2025-02,679190,723933,27-02-2026,27-02-2026
22QRDXN6365G1ZN,2025-03,1679467,1718207,27-02-2026,27-02-2026
22QRDXN6365G1ZN,2025-04,1499214,1480638,27-02-2026,27-02-2026
22QRDXN6365G1ZN,2025-05,1169879,1215960,27-02-2026,27-02-2026
22QRDXN6365G1ZN,2025-06,1397294,1406797,27-02-2026,27-02-2026
37HOAHL5644G1ZQ,2025-01,1664724,1635108,27-02-2026,27-02-2026
37HOAHL5644G1ZQ,2025-02,709379,688968,27-02-2026,27-02-2026
37HOAHL5644G1ZQ,2025-03,1807023,1797883,27-02-2026,27-02-2026
37HOAHL5644G1ZQ,2025-04,1979386,1980560,27-02-2026,27-02-2026
37HOAHL5644G1ZQ,2025-05,128532,92210,27-02-2026,27-02-2026
37HOAHL5644G1ZQ,2025-06,417752,399975,27-02-2026,27-02-2026
06HRQCY2381B1ZH,2025-01,254718,239033,27-02-2026,27-02-2026
06HRQCY2381B1ZH,2025-02,202657,201730,27-02-2026,27-02-2026
06HRQCY2381B1ZH,2025-03,545667,585980,27-02-2026,27-02-2026
06HRQCY2381B1ZH,2025-04,1842211,1846684,27-02-2026,27-02-2026
06HRQCY2381B1ZH,2025-05,369299,388528,27-02-2026,27-02-2026
06HRQCY2381B1ZH,2025-06,391571,370033,27-02-2026,27-02-2026
05LXOSJ3168Y1ZD,2025-01,973368,927582,27-02-2026,27-02-2026
05LXOSJ3168Y1ZD,2025-02,568564,566248,27-02-2026,27-02-2026
05LXOSJ3168Y1ZD,2025-03,1562304,1597816,27-02-2026,27-02-2026
05LXOSJ3168Y1ZD,2025-04,578108,566183,27-02-2026,27-02-2026
05LXOSJ3168Y1ZD,2025-05,186271,146428,27-02-2026,23-02-2026
05LXOSJ3168Y1ZD,2025-06,722054,706806,27-02-2026,27-02-2026
34MOXDD4553Y1ZO,2025-01,624523,648923,27-02-2026,16-02-2026
34MOXDD4553Y1ZO,2025-02,1355417,1343273,27-02-2026,27-02-2026
34MOXDD4553Y1ZO,2025-03,1334931,1357572,27-02-2026,27-02-2026
34MOXDD4553Y1ZO,2025-04,386715,418695,27-02-2026,27-02-2026
34MOXDD4553Y1ZO,2025-05,803909,785056,27-02-2026,27-02-2026
34MOXDD4553Y1ZO,2025-06,1895824,1893938,27-02-2026,27-02-2026
36LEWLT8274H1ZI,2025-01,1318707,1283287,27-02-2026,27-02-2026
36LEWLT8274H1ZI,2025-02,582754,631376,27-02-2026,27-02-2026
36LEWLT8274H1ZI,2025-03,1901789,1884776,27-02-2026,27-02-2026
36LEWLT8274H1ZI,2025-04,614553,587888,27-02-2026,08-02-2026
36LEWLT8274H1ZI,2025-05,373917,357102,27-02-2026,27-02-2026
36LEWLT8274H1ZI,2025-06,687817,665919,27-02-2026,06-02-2026
19GIXCD3124K1ZR,2025-01,795713,830273,27-02-2026,27-02-2026
19GIXCD3124K1ZR,2025-02,765254,746693,27-02-2026,27-02-2026
19GIXCD3124K1ZR,2025-03,138251,149162,27-02-2026,27-02-2026
19GIXCD3124K1ZR,2025-04,557546,555857,27-02-2026,27-02-2026
19GIXCD3124K1ZR,2025-05,1681299,1700640,27-02-2026,27-02-2026
19GIXCD3124K1ZR,2025-06,1016857,1041415,27-02-2026,27-02-2026
14VKUYA8549J1ZY,2025-01,112166,106678,27-02-2026,27-02-2026
14VKUYA8549J1ZY,2025-02,555417,547921,27-02-2026,27-02-2026
14VKUYA8549J1ZY,2025-03,169844,123214,27-02-2026,27-02-2026
14VKUYA8549J1ZY,2025-04,304259,287157,27-02-2026,27-02-2026
14VKUYA8549J1ZY,2025-05,1906012,1887287,27-02-2026,03-02-2026
14VKUYA8549J1ZY,2025-06,1132128,1166007,27-02-2026,27-02-2026
35UXMHM3677O1ZE,2025-01,1980840,1952858,27-02-2026,27-02-2026
35UXMHM3677O1ZE,2025-02,1571910,1528128,27-02-2026,27-02-2026
35UXMHM3677O1ZE,2025-03,1941301,1926513,27-02-2026,27-02-2026
35UXMHM3677O1ZE,2025-04,37779,43586,27-02-2026,27-02-2026
35UXMHM3677O1ZE,2025-05,249561,294639,27-02-2026,27-02-2026
35UXMHM3677O1ZE,2025-06,1706601,1734580,27-02-2026,27-02-2026
26PRCLW1234K1ZY,2025-01,518235,566532,27-02-2026,27-02-2026
26PRCLW1234K1ZY,2025-02,1283256,1246682,27-02-2026,27-02-2026
26PRCLW1234K1ZY,2025-03,1685581,1643951,27-02-2026,10-02-2026
26PRCLW1234K1ZY,2025-04,1263512,1305269,27-02-2026,27-02-2026
26PRCLW1234K1ZY,2025-05,818992,813316,27-02-2026,27-02-2026
26PRCLW1234K1ZY,2025-06,172585,157484,27-02-2026,27-02-2026
27GCAOZ3676Y1ZA,2025-01,743995,770188,27-02-2026,27-02-2026
27GCAOZ3676Y1ZA,2025-02,235404,206990,27-02-2026,27-02-2026
27GCAOZ3676Y1ZA,2025-03,301070,346378,27-02-2026,27-02-2026
27GCAOZ3676Y1ZA,2025-04,880978,836758,27-02-2026,27-02-2026
27GCAOZ3676Y1ZA,2025-05,1607064,1563971,27-02-2026,21-02-2026
27GCAOZ3676Y1ZA,2025-06,356150,379277,27-02-2026,27-02-2026
02QGMCY4236X1ZW,2025-01,1665077,1682112,27-02-2026,27-02-2026
02QGMCY4236X1ZW,2025-02,246600,219229,27-02-2026,27-02-2026
02QGMCY4236X1ZW,2025-03,1873453,1833931,27-02-2026,27-02-2026
02QGMCY4236X1ZW,2025-04,305719,304468,27-02-2026,25-02-2026
02QGMCY4236X1ZW,2025-05,1307040,1308817,27-02-2026,27-02-2026
02QGMCY4236X1ZW,2025-06,1305801,1335035,27-02-2026,31-01-2026
07PYOXJ9158H1ZD,2025-01,1069596,1053840,27-02-2026,27-02-2026
07PYOXJ9158H1ZD,2025-02,1963361,1921442,27-02-2026,27-02-2026
07PYOXJ9158H1ZD,2025-03,609612,570723,27-02-2026,27-02-2026
07PYOXJ9158H1ZD,2025-04,296082,279818,27-02-2026,27-02-2026
07PYOXJ9158H1ZD,2025-05,1355613,1367962,27-02-2026,19-02-2026
07PYOXJ9158H1ZD,2025-06,365634,347968,27-02-2026,27-02-2026
08UOBNR0604P1ZD,2025-01,152039,196201,27-02-2026,27-02-2026
08UOBNR0604P1ZD,2025-02,365796,383798,27-02-2026,27-02-2026
08UOBNR0604P1ZD,2025-03,1561614,1590122,27-02-2026,27-02-2026
08UOBNR0604P1ZD,2025-04,968308,960731,27-02-2026,05-02-2026
08UOBNR0604P1ZD,2025-05,1472824,1480078,27-02-2026,20-02-2026
08UOBNR0604P1ZD,2025-06,1482887,1512684,27-02-2026,27-02-2026
30SLTZH8544X1ZS,2025-01,1253681,1233778,27-02-2026,27-02-2026
30SLTZH8544X1ZS,2025-02,669326,684719,27-02-2026,11-02-2026
30SLTZH8544X1ZS,2025-03,1394282,1423032,27-02-2026,27-02-2026
30SLTZH8544X1ZS,2025-04,827790,835930,27-02-2026,27-02-2026
30SLTZH8544X1ZS,2025-05,993661,984540,27-02-2026,27-02-2026
30SLTZH8544X1ZS,2025-06,94643,93004,27-02-2026,27-02-2026
16VCWGM6308F1ZP,2025-01,1279289,1265018,27-02-2026,27-02-2026
16VCWGM6308F1ZP,2025-02,673662,624244,27-02-2026,27-02-2026
16VCWGM6308F1ZP,2025-03,1724018,1704149,27-02-2026,27-02-2026
16VCWGM6308F1ZP,2025-04,505728,500423,27-02-2026,27-02-2026
16VCWGM6308F1ZP,2025-05,1566243,1519574,27-02-2026,27-02-2026
16VCWGM6308F1ZP,2025-06,1123040,1119644,27-02-2026,27-02-2026
17IWSHA9074Y1ZH,2025-01,1308078,1341010,27-02-2026,27-02-2026
17IWSHA9074Y1ZH,2025-02,1513002,1464978,27-02-2026,27-02-2026
17IWSHA9074Y1ZH,2025-03,453503,450325,27-02-2026,17-02-2026
17IWSHA9074Y1ZH,2025-04,1912539,1914023,27-02-2026,26-02-2026
17IWSHA9074Y1ZH,2025-05,695041,655774,27-02-2026,27-02-2026
17IWSHA9074Y1ZH,2025-06,192604,150067,27-02-2026,27-02-2026
02CFRHP4547K1ZL,2025-01,281645,282687,27-02-2026,27-02-2026
02CFRHP4547K1ZL,2025-02,806266,797003,27-02-2026,27-02-2026
02CFRHP4547K1ZL,2025-03,1928634,1892237,27-02-2026,27-02-2026
02CFRHP4547K1ZL,2025-04,1848047,1815172,27-02-2026,27-02-2026
02CFRHP4547K1ZL,2025-05,734004,760343,27-02-2026,27-02-2026
02CFRHP4547K1ZL,2025-06,1062160,1057909,27-02-2026,27-02-2026
17FSITY6172S1ZY,2025-01,684549,687669,27-02-2026,27-02-2026
17FSITY6172S1ZY,2025-02,715410,686050,27-02-2026,27-02-2026
17FSITY6172S1ZY,2025-03,1354085,1336089,27-02-2026,11-02-2026
17FSITY6172S1ZY,2025-04,1611773,1657441,27-02-2026,27-02-2026
17FSITY6172S1ZY,2025-05,89833,98456,27-02-2026,27-02-2026
17FSITY6172S1ZY,2025-06,1941787,1981152,27-02-2026,27-02-2026
07VHJHS1002E1ZU,2025-01,1632023,1624325,27-02-2026,27-02-2026
07VHJHS1002E1ZU,2025-02,1028881,1011912,27-02-2026,27-02-2026
07VHJHS1002E1ZU,2025-03,1535511,1583803,27-02-2026,27-02-2026
07VHJHS1002E1ZU,2025-04,169485,141827,27-02-2026,27-02-2026
07VHJHS1002E1ZU,2025-05,1977571,2025150,27-02-2026,27-02-2026
07VHJHS1002E1ZU,2025-06,889354,899380,27-02-2026,27-02-2026
01OMLEB9484C1ZS,2025-01,182576,219040,27-02-2026,27-02-2026
01OMLEB9484C1ZS,2025-02,1630801,1603069,27-02-2026,27-02-2026
01OMLEB9484C1ZS,2025-03,1796601,1809554,27-02-2026,27-02-2026
01OMLEB9484C1ZS,2025-04,1312678,1298559,27-02-2026,27-02-2026
01OMLEB9484C1ZS,2025-05,697352,668599,27-02-2026,27-02-2026
01OMLEB9484C1ZS,2025-06,1050923,1034319,27-02-2026,27-02-2026
37YCGOK5673O1ZJ,2025-01,308234,266127,27-02-2026,27-02-2026
37YCGOK5673O1ZJ,2025-02,1404130,1421895,27-02-2026,27-02-2026
37YCGOK5673O1ZJ,2025-03,89791,97155,27-02-2026,27-02-2026
37YCGOK5673O1ZJ,2025-04,1184972,1169342,27-02-2026,27-02-2026
37YCGOK5673O1ZJ,2025-05,728250,753006,27-02-2026,27-02-2026
37YCGOK5673O1ZJ,2025-06,1984143,1951038,27-02-2026,27-02-2026
04PTYFF6110A1ZN,2025-01,880004,903959,27-02-2026,27-02-2026
04PTYFF6110A1ZN,2025-02,995211,987175,27-02-2026,27-02-2026
04PTYFF6110A1ZN,2025-03,155103,197792,27-02-2026,20-02-2026
04PTYFF6110A1ZN,2025-04,796675,839137,27-02-2026,27-02-2026
04PTYFF6110A1ZN,2025-05,347693,378305,27-02-2026,27-02-2026
04PTYFF6110A1ZN,2025-06,157478,148410,27-02-2026,27-02-2026
19AHHWB2275Z1ZG,2025-01,1578328,1550292,27-02-2026,27-02-2026
19AHHWB2275Z1ZG,2025-02,134887,151880,27-02-2026,27-02-2026
19AHHWB2275Z1ZG,2025-03,57022,59171,27-02-2026,27-02-2026
19AHHWB2275Z1ZG,2025-04,438853,423385,27-02-2026,27-02-2026
19AHHWB2275Z1ZG,2025-05,169865,128902,27-02-2026,10-02-2026
19AHHWB2275Z1ZG,2025-06,1112214,1127229,27-02-2026,20-02-2026
15QXVBE3752D1ZO,2025-01,311828,330153,27-02-2026,27-02-2026
15QXVBE3752D1ZO,2025-02,1901492,1897279,27-02-2026,27-02-2026
15QXVBE3752D1ZO,2025-03,1392047,1370687,27-02-2026,27-02-2026
15QXVBE3752D1ZO,2025-04,611579,575002,27-02-2026,27-02-2026
15QXVBE3752D1ZO,2025-05,1018652,979796,27-02-2026,27-02-2026
15QXVBE3752D1ZO,2025-06,111228,93368,27-02-2026,27-02-2026
33OLPXT6026S1ZS,2025-01,138251,154390,27-02-2026,27-02-2026
33OLPXT6026S1ZS,2025-02,622107,608986,27-02-2026,27-02-2026
33OLPXT6026S1ZS,2025-03,533870,538872,27-02-2026,27-02-2026
33OLPXT6026S1ZS,2025-04,123710,160868,27-02-2026,27-02-2026
33OLPXT6026S1ZS,2025-05,1332172,1361456,27-02-2026,27-02-2026
33OLPXT6026S1ZS,2025-06,192791,171956,27-02-2026,27-02-2026
03TENLH9489P1ZL,2025-01,1543356,1514110,27-02-2026,27-02-2026
03TENLH9489P1ZL,2025-02,75882,101949,27-02-2026,27-02-2026
03TENLH9489P1ZL,2025-03,1028215,1073224,27-02-2026,27-02-2026
03TENLH9489P1ZL,2025-04,1055788,1065777,27-02-2026,01-02-2026
03TENLH9489P1ZL,2025-05,964035,945514,27-02-2026,27-02-2026
03TENLH9489P1ZL,2025-06,727368,737155,27-02-2026,27-02-2026
07WISHY8543K1ZD,2025-01,758852,754542,27-02-2026,27-02-2026
07WISHY8543K1ZD,2025-02,1304949,1262573,27-02-2026,27-02-2026
07WISHY8543K1ZD,2025-03,1896418,1912512,27-02-2026,27-02-2026
07WISHY8543K1ZD,2025-04,1700142,1741343,27-02-2026,27-02-2026
07WISHY8543K1ZD,2025-05,761258,808130,27-02-2026,27-02-2026
07WISHY8543K1ZD,2025-06,236237,192859,27-02-2026,27-02-2026
01ROKEJ7672R1ZE,2025-01,1319172,1295952,27-02-2026,27-02-2026
01ROKEJ7672R1ZE,2025-02,789016,765941,27-02-2026,27-02-2026
01ROKEJ7672R1ZE,2025-03,1136917,1167954,27-02-2026,27-02-2026
01ROKEJ7672R1ZE,2025-04,412948,453538,27-02-2026,27-02-2026
01ROKEJ7672R1ZE,2025-05,1379023,1339803,27-02-2026,27-02-2026
01ROKEJ7672R1ZE,2025-06,1433368,1481043,27-02-2026,27-02-2026
32DZPGE5509D1ZO,2025-01,1383268,1401428,27-02-2026,27-02-2026
32DZPGE5509D1ZO,2025-02,1575968,1529702,27-02-2026,27-02-2026
32DZPGE5509D1ZO,2025-03,310429,309779,27-02-2026,27-02-2026
32DZPGE5509D1ZO,2025-04,916314,884482,27-02-2026,27-02-2026
32DZPGE5509D1ZO,2025-05,39791,40320,27-02-2026,27-02-2026
