invoice_no,seller_gstin,buyer_gstin,invoice_date,taxable_value,cgst,sgst,igst,total_tax
INV-32,09GBSOO4553O1ZI,17SOXYX6228N1ZZ,03-09-2025,492515,0,0,88652.7,88652.7
INV-33,29HBFUP1144R1ZL,28SKVPD3953S1ZY,26-09-2025,699666,0,0,125939.88,125939.88
INV-34,03RVHXB4166W1ZW,23ICNHB0945Q1ZK,22-09-2025,327508,0,0,58951.44,58951.44
INV-35,10MAXQG6069Z1ZD,14EUHTR1448J1ZV,27-11-2025,656703,0,0,118206.54,118206.54
INV-36,35FOTOQ9663V1ZQ,20AZFIU9895S1ZS,08-09-2025,733825,0,0,132088.5,132088.5
INV-37,05ODRBF5048J1ZY,05OAYVM5936M1ZB,05-02-2026,327358,0,0,58924.44,58924.44
INV-38,21UHJDN5710M1ZT,08MBTFR6385C1ZZ,10-01-2026,24549,0,0,4418.82,4418.82
INV-39,32DZPGE5509D1ZO,37OIZFB1027F1ZW,02-09-2025,26656,0,0,4798.08,4798.08
INV-40,05GMCIH9139D1ZK,09RVTRN6433F1ZG,21-02-2026,910739,0,0,163933.02,163933.02
INV-41,12VBULH0109Q1ZM,12IBLFU5177E1ZT,21-01-2026,690130,0,0,124223.4,124223.4
INV-42,31QFXWF1631I1ZS,11MNMIA9592L1ZB,20-09-2025,466957,0,0,84052.26,84052.26
INV-43,08BIDGE5033L1ZO,25MDWAY4696B1ZD,10-01-2026,574744,0,0,103453.92,103453.92
INV-44,17IWSHA9074Y1ZH,32ZQMEU1749R1ZU,01-11-2025,817111,0,0,147079.98,147079.98
INV-45,02BIZUF8558H1ZK,15RQMYJ3165J1ZD,22-02-2026,452372,0,0,81426.96,81426.96
INV-46,33GASVP6844K1ZR,20BKPAH2123A1ZP,19-01-2026,956251,0,0,172125.18,172125.18
INV-47,34HSINF6783E1ZI,10ROEBN7181A1ZY,26-10-2025,476895,0,0,85841.1,85841.1
INV-48,07MIHIH6961Q1ZY,37YCMBT7145I1ZQ,04-11-2025,911561,0,0,164080.98,164080.98
INV-49,31UJPTT6014H1ZC,31HACDG3400R1ZG,14-12-2025,221118,0,0,39801.24,39801.24
INV-50,03RNUKX8061Q1ZU,15BPBLF6134G1ZU,19-11-2025,884343,0,0,159181.74,159181.74
INV-51,35IAWGP9053Z1ZK,24SVPXC2616S1ZU,01-02-2026,18256,0,0,3286.08,3286.08
INV-52,26NZCQC9327O1ZU,05JLNVM5884L1ZZ,09-11-2025,757732,0,0,136391.76,136391.76
INV-53,28EFEHW0622N1ZR,30CKEYC1111G1ZQ,02-10-2025,529782,0,0,95360.76,95360.76
INV-54,13WYNFU5666L1ZH,08AQDWU9435U1ZG,15-12-2025,591230,0,0,106421.4,106421.4
INV-55,34IGRIG1649C1ZA,32JEYXK2717S1ZQ,26-10-2025,429095,0,0,77237.1,77237.1
INV-56,37LWLDM6145A1ZC,33KIOSS1900E1ZP,24-09-2025,769813,0,0,138566.34,138566.34
INV-57,06GDUIP3724E1ZD,28KWWFQ6073J1ZQ,26-10-2025,959037,0,0,172626.66,172626.66
INV-58,15IYXVG6513R1ZC,12UYSDK4157G1ZO,15-10-2025,73653,0,0,13257.54,13257.54
INV-59,13DTOUN0309Z1ZJ,12MCGFN0921W1ZF,09-12-2025,614402,0,0,110592.36,110592.36
INV-60,36DBOKO0277G1ZN,34MOXDD4553Y1ZO,15-09-2025,290859,0,0,52354.62,52354.62
INV-61,18JKQUG9503W1ZL,10VYYJE5725D1ZS,29-01-2026,506330,0,0,91139.4,91139.4
INV-62,08HUMPU8934F1ZB,19MYWQY4649C1ZF,15-09-2025,994575,0,0,179023.5,179023.5
INV-63,21PPPJV6872T1ZS,11ZVDLZ4968I1ZK,08-11-2025,741396,0,0,133451.28,133451.28
INV-64,37YCMBT7145I1ZQ,36AYVGE7330E1ZS,09-01-2026,312001,0,0,56160.18,56160.18
INV-65,30HNQPA9985T1ZT,14FTVBC8134I1ZV,30-12-2025,469392,0,0,84490.56,84490.56
INV-66,05GISRT5596K1ZQ,37ADLJL0133I1ZH,05-09-2025,626204,0,0,112716.72,112716.72
INV-67,02MHXCV7337Q1ZP,20LOFKQ4710W1ZQ,12-09-2025,641347,0,0,115442.46,115442.46
INV-68,09QPAGU3964M1ZL,37WUZXT8972Z1ZL,14-12-2025,936074,0,0,168493.32,168493.32
INV-69,29CPGOQ5801U1ZL,03NLVBZ5375Q1ZY,13-11-2025,419333,0,0,75479.94,75479.94
INV-70,22DRBDW4138T1ZF,11XQWTK0889P1ZX,13-09-2025,715804,0,0,128844.72,128844.72
INV-71,19GBHOT1335A1ZF,33ZRCZU9981E1ZH,30-10-2025,844637,0,0,152034.66,152034.66
INV-72,05HBKZG8109G1ZT,04UHUTO6022Y1ZM,17-01-2026,895555,0,0,161199.9,161199.9
INV-73,08JRPOQ5923Q1ZP,05ITQUT3058F1ZY,04-09-2025,306177,0,0,55111.86,55111.86
INV-74,20QFFHN7621D1ZA,17IWSHA9074Y1ZH,27-10-2025,709459,0,0,127702.62,127702.62
INV-75,17LHZWC3326A1ZV,26NKIII1515Y1ZL,18-01-2026,219174,0,0,39451.32,39451.32
INV-76,22BYMJX2969P1ZX,03JQUQP0180D1ZN,13-11-2025,115805,0,0,20844.9,20844.9
INV-77,11XQWTK0889P1ZX,36GSFRA4156W1ZE,29-12-2025,328402,0,0,59112.36,59112.36
INV-78,12VBULH0109Q1ZM,20SDOVY1377U1ZN,23-02-2026,59334,0,0,10680.12,10680.12
INV-79,28EDFFB3253W1ZJ,13UORYV7784C1ZD,28-11-2025,283477,0,0,51025.86,51025.86
INV-80,32VROXP3750B1ZY,28CTVOP5313V1ZY,22-10-2025,193201,0,0,34776.18,34776.18
INV-81,36RMEFB7030P1ZQ,29TDFSP4053R1ZZ,03-12-2025,76758,0,0,13816.44,13816.44
INV-82,19DSYYK9906Z1ZT,19NHVZG5395E1ZC,31-12-2025,657561,0,0,118360.98,118360.98
INV-83,09NPWWL5474U1ZE,05SXWQV5720I1ZR,26-10-2025,244981,0,0,44096.58,44096.58
INV-84,08OOXKI7109C1ZL,11ILMUQ1637G1ZO,29-11-2025,833012,0,0,149942.16,149942.16
INV-85,01PNWWB9905L1ZD,23FGCUW4619F1ZZ,08-10-2025,817503,0,0,147150.54,147150.54
INV-86,19WAOCZ2954E1ZQ,03CMKLT6824N1ZG,04-09-2025,168522,0,0,30333.96,30333.96
INV-87,32OMAAG9846J1ZN,14RLIVV8375W1ZV,09-09-2025,643643,0,0,115855.74,115855.74
INV-88,33OLPXT6026S1ZS,11FATAH4797C1ZF,07-11-2025,62871,0,0,11316.78,11316.78
INV-89,05HBKZG8109G1ZT,18VWRZF3773X1ZN,30-01-2026,892478,0,0,160646.04,160646.04
INV-90,14EUHTR1448J1ZV,03TENLH9489P1ZL,24-09-2025,829621,0,0,149331.78,149331.78
INV-91,31JIXWO2175M1ZH,18HGTPX7631Z1ZW,01-02-2026,910084,0,0,163815.12,163815.12
INV-92,32PCVHK5199T1ZL,22WMJHO1688E1ZR,21-10-2025,54008,0,0,9721.44,9721.44
INV-93,33OLPXT6026S1ZS,20BKPAH2123A1ZP,28-01-2026,670525,0,0,120694.5,120694.5
INV-94,28SKVPD3953S1ZY,06NJYOU5080M1ZL,27-11-2025,965237,0,0,173742.66,173742.66
INV-95,15KVKSI3296P1ZC,18IKFFB5950X1ZW,06-11-2025,316313,0,0,56936.34,56936.34
INV-96,22OGRCY5454R1ZD,05GISRT5596K1ZQ,02-02-2026,532600,0,0,95868,95868
INV-97,02BMKRM9006C1ZE,31QFXWF1631I1ZS,04-12-2025,391405,0,0,70452.9,70452.9
INV-98,29GPDUQ3180A1ZF,08MBTFR6385C1ZZ,07-01-2026,138957,0,0,25012.26,25012.26
INV-99,25EBYZI9874U1ZF,30VRLYP0969K1ZX,26-02-2026,445945,0,0,80270.1,80270.1
INV-100,05KLOVQ6103K1ZR,15XPDOA9047B1ZN,29-10-2025,858450,0,0,154521,154521
INV-101,29SLBBS0318X1ZH,15GJHYS1847A1ZH,15-01-2026,539554,0,0,97119.72,97119.72
INV-102,16VCWGM6308F1ZP,08ITQSA3261T1ZU,13-11-2025,400527,0,0,72094.86,72094.86
INV-103,33ZRCZU9981E1ZH,11ARWIM9524W1ZR,27-12-2025,707298,0,0,127313.64,127313.64
INV-104,17BTNTM7515T1ZB,13SRNZT4189O1ZD,15-10-2025,800109,0,0,144019.62,144019.62
INV-105,15ZCRGV9092Z1ZM,25MDWAY4696B1ZD,23-01-2026,249266,0,0,44867.88,44867.88
INV-106,32COLPC4200X1ZI,11TLQMI7586L1ZH,15-11-2025,443491,0,0,79828.38,79828.38
INV-107,03CMKLT6824N1ZG,18VWRZF3773X1ZN,18-10-2025,903796,0,0,162683.28,162683.28
INV-108,12IAABK5637I1ZG,09IMTOG3467P1ZR,20-02-2026,389347,0,0,70082.46,70082.46
INV-109,04JLHRP1012C1ZP,29LGJZJ9602D1ZO,25-02-2026,817562,0,0,147161.16,147161.16
INV-110,11SDCLJ5375F1ZM,22CLTQE0316D1ZU,10-02-2026,552479,0,0,99446.22,99446.22
INV-111,16VCWGM6308F1ZP,29SLBBS0318X1ZH,17-11-2025,340096,0,0,61217.28,61217.28
INV-112,09DBASM4906N1ZO,02CNJLE3395B1ZE,12-02-2026,465157,0,0,83728.26,83728.26
INV-113,03MJDYW5974K1ZH,20NKKQO9338S1ZN,11-09-2025,48895,0,0,8801.1,8801.1
INV-114,20LOFKQ4710W1ZQ,30QHQEA0511I1ZE,03-10-2025,168284,0,0,30291.12,30291.12
INV-115,37HOAHL5644G1ZQ,30QQONQ3358O1ZJ,11-09-2025,758022,0,0,136443.96,136443.96
INV-116,16ATMZP3442V1ZP,33DMNBY8459F1ZW,12-11-2025,320089,0,0,57616.02,57616.02
INV-117,34ZKYZD2028N1ZW,15HFZLT1044G1ZD,01-09-2025,723944,0,0,130309.92,130309.92
INV-118,36DBOKO0277G1ZN,16ATMZP3442V1ZP,09-12-2025,329105,0,0,59238.9,59238.9
INV-119,30AERUX1433Y1ZD,14FTVBC8134I1ZV,18-12-2025,18286,0,0,3291.48,3291.48
INV-120,24EZMCL6014S1ZD,28VNADR1712I1ZE,21-01-2026,650051,0,0,117009.18,117009.18
INV-121,37DZXIO2158E1ZJ,06PNQKP0612K1ZZ,16-09-2025,477863,0,0,86015.34,86015.34
INV-122,06NJYOU5080M1ZL,04MXBHA0165G1ZF,21-09-2025,580871,0,0,104556.78,104556.78
INV-123,37TIQTD1337Y1ZR,10MAKDX6534I1ZR,06-11-2025,693710,0,0,124867.8,124867.8
INV-124,25XVAOH1860M1ZQ,14FTVBC8134I1ZV,14-09-2025,940794,0,0,169342.92,169342.92
INV-125,29HBFUP1144R1ZL,06NPGQR6655T1ZB,12-12-2025,216879,0,0,39038.22,39038.22
INV-126,16VCWGM6308F1ZP,34IGRIG1649C1ZA,04-12-2025,573539,0,0,103237.02,103237.02
INV-127,24DUGXU0820W1ZS,30TJATI8878C1ZJ,26-01-2026,763800,0,0,137484,137484
INV-128,33DMNBY8459F1ZW,16YRIXY3529Y1ZL,04-01-2026,307719,0,0,55389.42,55389.42
INV-129,07VHJHS1002E1ZU,37LWLDM6145A1ZC,10-12-2025,588589,0,0,105946.02,105946.02
INV-130,33DMNBY8459F1ZW,29SLBBS0318X1ZH,18-09-2025,803820,0,0,144687.6,144687.6
INV-131,28CTVOP5313V1ZY,13SKRJX4200R1ZH,12-10-2025,39246,0,0,7064.28,7064.28
INV-132,33KIOSS1900E1ZP,08OOXKI7109C1ZL,12-12-2025,263063,0,0,47351.34,47351.34
INV-133,03RVHXB4166W1ZW,16PUSXA7955G1ZZ,30-01-2026,539818,0,0,97167.24,97167.24
INV-134,21GOQYP4748T1ZH,06HRQCY2381B1ZH,24-11-2025,892464,0,0,160643.52,160643.52
INV-135,08OOXKI7109C1ZL,26NZCQC9327O1ZU,29-11-2025,542151,0,0,97587.18,97587.18
INV-136,05GRHFC9771F1ZW,12TIYUW8271B1ZP,14-09-2025,803310,0,0,144595.8,144595.8
INV-137,24XRNGL0999J1ZC,05GRHFC9771F1ZW,13-12-2025,480534,0,0,86496.12,86496.12
INV-138,31XAWLF5211T1ZW,34HSINF6783E1ZI,03-11-2025,15466,0,0,2783.88,2783.88
INV-139,02MHXCV7337Q1ZP,37KQMQH9486J1ZO,02-10-2025,854510,0,0,153811.8,153811.8
INV-140,10JFUTH4535V1ZH,12UYSDK4157G1ZO,20-09-2025,947782,0,0,170600.76,170600.76
INV-141,34BBHYY0751Q1ZV,13UZHER1153N1ZI,28-09-2025,895517,0,0,161193.06,161193.06
INV-142,10EQXIY0809Y1ZS,32KVMCA7225F1ZY,17-12-2025,323735,0,0,58272.3,58272.3
INV-143,12OOTTO6741Z1ZF,34WICDY1497H1ZV,04-10-2025,864672,0,0,155640.96,155640.96
INV-144,20AZFIU9895S1ZS,35DJTGJ6364T1ZR,23-11-2025,759051,0,0,136629.18,136629.18
INV-145,33DMNBY8459F1ZW,34HSINF6783E1ZI,01-02-2026,269662,0,0,48539.16,48539.16
INV-146,13LDAKV3844U1ZT,17PEYKL7714U1ZV,09-01-2026,620658,0,0,111718.44,111718.44
INV-147,32PCVHK5199T1ZL,06NPGQR6655T1ZB,03-11-2025,388816,0,0,69986.88,69986.88
INV-148,04PTYFF6110A1ZN,18WDDGE6007H1ZS,11-11-2025,756209,0,0,136117.62,136117.62
INV-149,16SPIFR3730X1ZN,04VZDVJ6652C1ZA,04-02-2026,95927,0,0,17266.86,17266.86
INV-150,05LXOSJ3168Y1ZD,10PXUWW9393D1ZK,25-01-2026,941669,0,0,169500.42,169500.42
INV-151,15RQMYJ3165J1ZD,32RJUGC4491J1ZK,08-02-2026,477836,0,0,86010.48,86010.48
INV-152,24GJXEK3626W1ZD,28KWWFQ6073J1ZQ,16-11-2025,561818,0,0,101127.24,101127.24
INV-153,28QGWLJ2674Z1ZR,20SDOVY1377U1ZN,18-11-2025,554153,0,0,99747.54,99747.54
INV-154,27QHEMO9182P1ZB,19QXCON7991F1ZB,23-10-2025,622686,0,0,112083.48,112083.48
INV-155,10HAVWI4099P1ZJ,16PUSXA7955G1ZZ,04-09-2025,471457,0,0,84862.26,84862.26
INV-156,02GUREW9408C1ZK,25YWFYY6699G1ZI,13-11-2025,523321,0,0,94197.78,94197.78
INV-157,32PCVHK5199T1ZL,36AYVGE7330E1ZS,21-10-2025,161357,0,0,29044.26,29044.26
INV-158,10GQLRX4250L1ZS,23ICNHB0945Q1ZK,02-11-2025,755695,0,0,136025.1,136025.1
INV-159,17LHZWC3326A1ZV,05GMCIH9139D1ZK,19-10-2025,748747,0,0,134774.46,134774.46
INV-160,19ZTZRU7931P1ZB,28VNADR1712I1ZE,03-09-2025,133792,0,0,24082.56,24082.56
INV-161,03TEJUW3138X1ZO,18VWRZF3773X1ZN,19-02-2026,506349,0,0,91142.82,91142.82
INV-162,34DIBWW3817X1ZJ,15KVKSI3296P1ZC,07-10-2025,999928,0,0,179987.04,179987.04
INV-163,24GJXEK3626W1ZD,20LOFKQ4710W1ZQ,26-09-2025,134535,0,0,24216.3,24216.3
INV-164,35YMKTA1088Q1ZU,33BHVEY8550D1ZZ,28-01-2026,125695,0,0,22625.1,22625.1
INV-165,24GJXEK3626W1ZD,31XAWLF5211T1ZW,17-02-2026,313657,0,0,56458.26,56458.26
INV-166,25RPIWK6623K1ZJ,02BMKRM9006C1ZE,24-11-2025,133461,0,0,24022.98,24022.98
INV-167,05YRTKV2705L1ZB,14QDKRW0175M1ZL,14-12-2025,327991,0,0,59038.38,59038.38
INV-168,28ZJAFJ0381V1ZA,07GELKH2948R1ZD,22-01-2026,839637,0,0,151134.66,151134.66
INV-169,05QMSQD0091H1ZR,34WICDY1497H1ZV,12-11-2025,628265,0,0,113087.7,113087.7
INV-170,12TIYUW8271B1ZP,24VAZPV6967H1ZI,11-12-2025,947692,0,0,170584.56,170584.56
INV-171,04MXBHA0165G1ZF,23DZKDZ8794X1ZR,12-01-2026,236053,0,0,42489.54,42489.54
INV-172,29GPDUQ3180A1ZF,34HSINF6783E1ZI,27-02-2026,522537,0,0,94056.66,94056.66
INV-173,17ISQWW8337Y1ZP,05TPSBY1730Y1ZO,10-02-2026,375584,0,0,67605.12,67605.12
INV-174,28SKVPD3953S1ZY,28OCYRD0354B1ZJ,27-10-2025,447859,0,0,80614.62,80614.62
INV-175,31XAWLF5211T1ZW,16ENVGK3459H1ZJ,04-11-2025,603246,0,0,108584.28,108584.28
INV-176,24EZMCL6014S1ZD,28CCFTO6234V1ZS,23-11-2025,829304,0,0,149274.72,149274.72
INV-177,15RQMYJ3165J1ZD,15XPDOA9047B1ZN,25-09-2025,765009,0,0,137701.62,137701.62
INV-178,37WUZXT8972Z1ZL,26BCVUJ4608S1ZY,21-10-2025,155251,0,0,27945.18,27945.18
INV-179,10HAVWI4099P1ZJ,14XKMNJ0707M1ZE,04-11-2025,808678,0,0,145562.04,145562.04
INV-180,12OOTTO6741Z1ZF,31OGHKW0555T1ZE,06-12-2025,166219,0,0,29919.42,29919.42
INV-181,02CFRHP4547K1ZL,32COLPC4200X1ZI,10-09-2025,665119,0,0,119721.42,119721.42
INV-182,19MYWQY4649C1ZF,33BHVEY8550D1ZZ,30-12-2025,416045,0,0,74888.1,74888.1
INV-183,24EZMCL6014S1ZD,05ODRBF5048J1ZY,12-10-2025,365465,0,0,65783.7,65783.7
INV-184,23FGCUW4619F1ZZ,33QHKJZ5525K1ZO,06-11-2025,713011,0,0,128341.98,128341.98
INV-185,19GBHOT1335A1ZF,14SMXLB1455V1ZZ,05-02-2026,687292,0,0,123712.56,123712.56
INV-186,35WRYZK4650V1ZL,02CNJLE3395B1ZE,21-02-2026,751561,0,0,135280.98,135280.98
INV-187,35OJJPX0292M1ZL,11ARWIM9524W1ZR,10-12-2025,844832,0,0,152069.76,152069.76
INV-188,22WMJHO1688E1ZR,30TCRFK9917X1ZR,16-09-2025,139794,0,0,25162.92,25162.92
INV-189,20SDOVY1377U1ZN,16VCWGM6308F1ZP,22-09-2025,211774,0,0,38119.32,38119.32
INV-190,16YRIXY3529Y1ZL,31WEVPU8162X1ZV,14-02-2026,804417,0,0,144795.06,144795.06
INV-191,14SSTGC0329T1ZV,03RNUKX8061Q1ZU,10-01-2026,557098,0,0,100277.64,100277.64
INV-192,14OOHYU5138R1ZO,15RQMYJ3165J1ZD,23-02-2026,537054,0,0,96669.72,96669.72
INV-193,09NPWWL5474U1ZE,09EACEA6346S1ZI,14-10-2025,991657,0,0,178498.26,178498.26
INV-194,24VBWWP5457B1ZO,28XIZTD8670E1ZB,19-12-2025,29895,0,0,5381.1,5381.1
INV-195,34WICDY1497H1ZV,06NJYOU5080M1ZL,31-08-2025,267201,0,0,48096.18,48096.18
INV-196,07LGOAT9126C1ZA,04MXBHA0165G1ZF,06-11-2025,617705,0,0,111186.9,111186.9
INV-197,16VCWGM6308F1ZP,29TDFSP4053R1ZZ,25-09-2025,569461,0,0,102502.98,102502.98
INV-198,24CAIJH1145N1ZD,06PNQKP0612K1ZZ,16-02-2026,627499,0,0,112949.82,112949.82
INV-199,03JQUQP0180D1ZN,20AQFJI6157Y1ZI,22-02-2026,989211,0,0,178057.98,178057.98
INV-200,29SLBBS0318X1ZH,25EBYZI9874U1ZF,13-11-2025,199276,0,0,35869.68,35869.68
INV-201,04FXWBG6219S1ZS,19ZTZRU7931P1ZB,08-12-2025,563545,0,0,101438.1,101438.1
INV-202,25WOJRT9700I1ZG,13YHHYZ7764P1ZL,29-01-2026,105446,0,0,18980.28,18980.28
INV-203,04PTYFF6110A1ZN,32BXFNY1950C1ZG,16-12-2025,186324,0,0,33538.32,33538.32
INV-204,24RTYKT1404N1ZI,11JXKUR0633R1ZV,05-02-2026,277968,0,0,50034.24,50034.24
INV-205,02BMKRM9006C1ZE,16ENVGK3459H1ZJ,07-09-2025,437060,0,0,78670.8,78670.8
INV-206,20BKPAH2123A1ZP,06HRQCY2381B1ZH,06-12-2025,654324,0,0,117778.32,117778.32
INV-207,24VBWWP5457B1ZO,31UECLL4769D1ZB,13-02-2026,757949,0,0,136430.82,136430.82
INV-208,13ZDZMG6295Y1ZJ,33JMOJG1572Q1ZA,08-12-2025,113540,0,0,20437.2,20437.2
INV-209,05QMSQD0091H1ZR,28EFEHW0622N1ZR,07-12-2025,946389,0,0,170350.02,170350.02
INV-210,08OOXKI7109C1ZL,09GQGPS2908J1ZG,28-01-2026,997315,0,0,179516.7,179516.7
INV-211,35IAWGP9053Z1ZK,30BVMNQ5720L1ZH,28-09-2025,261262,0,0,47027.16,47027.16
INV-212,35KESUP1066K1ZN,29KMIDW3933Y1ZL,20-10-2025,526926,0,0,94846.68,94846.68
INV-213,31XBJCK7866O1ZT,37REJJA6891P1ZD,29-01-2026,413752,0,0,74475.36,74475.36
INV-214,08ITQSA3261T1ZU,05LXOSJ3168Y1ZD,01-11-2025,343799,0,0,61883.82,61883.82
INV-215,36DBOKO0277G1ZN,30GDERV6083C1ZW,27-10-2025,78637,0,0,14154.66,14154.66
INV-216,07GELKH2948R1ZD,33BHVEY8550D1ZZ,30-12-2025,674316,0,0,121376.88,121376.88
INV-217,02PDJVP7634L1ZN,23IJVXP7370D1ZH,21-12-2025,29527,0,0,5314.86,5314.86
INV-218,36DBOKO0277G1ZN,31GSLZY0374P1ZD,08-09-2025,624646,0,0,112436.28,112436.28
INV-219,19AHHWB2275Z1ZG,20PNNMO4031N1ZS,08-10-2025,810040,0,0,145807.2,145807.2
INV-220,16ABUMP3010T1ZK,37TIQTD1337Y1ZR,12-12-2025,141671,0,0,25500.78,25500.78
INV-221,29EOOWD7907H1ZC,30GDERV6083C1ZW,06-02-2026,477646,0,0,85976.28,85976.28
INV-222,08QTTWS7738Q1ZV,10HAVWI4099P1ZJ,06-01-2026,534741,0,0,96253.38,96253.38
INV-223,04QPORH7041C1ZZ,05GMCIH9139D1ZK,24-11-2025,159282,0,0,28670.76,28670.76
INV-224,14RIHYQ4576D1ZV,20BKPAH2123A1ZP,27-12-2025,830011,0,0,149401.98,149401.98
INV-225,37OBSNY5715M1ZC,14EWUHM1869J1ZX,08-10-2025,454336,0,0,81780.48,81780.48
INV-226,36KIHLW7654N1ZE,32GXBQV0319F1ZX,01-11-2025,11049,0,0,1988.82,1988.82
INV-227,34LGIZM9234I1ZT,16SPIFR3730X1ZN,15-12-2025,660882,0,0,118958.76,118958.76
INV-228,10SUDGZ7784G1ZA,04UHUTO6022Y1ZM,27-02-2026,185512,0,0,33392.16,33392.16
INV-229,06HRQCY2381B1ZH,06GDUIP3724E1ZD,27-10-2025,976588,0,0,175785.84,175785.84
INV-230,24SBDHK5873D1ZU,18FZLKA1555K1ZD,06-09-2025,273076,0,0,49153.68,49153.68
INV-231,13THBXY4145Q1ZA,32HEVQW9413R1ZQ,19-09-2025,893360,0,0,160804.8,160804.8
INV-232,03TEJUW3138X1ZO,35KESUP1066K1ZN,20-10-2025,891521,0,0,160473.78,160473.78
INV-233,09TZQKZ3893V1ZV,23FGCUW4619F1ZZ,14-10-2025,179257,0,0,32266.26,32266.26
INV-234,05SXWQV5720I1ZR,14VKUYA8549J1ZY,05-02-2026,325242,0,0,58543.56,58543.56
INV-235,05ODRBF5048J1ZY,37DZXIO2158E1ZJ,23-01-2026,138950,0,0,25011,25011
INV-236,03RVHXB4166W1ZW,12FVFEU8899O1ZU,09-11-2025,303033,0,0,54545.94,54545.94
INV-237,12VBULH0109Q1ZM,34UMONK6196O1ZK,08-12-2025,539342,0,0,97081.56,97081.56
INV-238,13UORYV7784C1ZD,09IMTOG3467P1ZR,18-09-2025,369279,0,0,66470.22,66470.22
INV-239,31FVHOH1720Q1ZH,13SRNZT4189O1ZD,04-11-2025,752133,0,0,135383.94,135383.94
INV-240,24SBDHK5873D1ZU,05KLOVQ6103K1ZR,07-12-2025,704447,0,0,126800.46,126800.46
INV-241,29SLBBS0318X1ZH,12VBULH0109Q1ZM,27-09-2025,492134,0,0,88584.12,88584.12
INV-242,13MEKIT6973I1ZZ,18TIHEA7797Q1ZD,03-09-2025,968417,0,0,174315.06,174315.06
